accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0000893220-06-001096,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"2004 WHOLE ACCOUNT AGREEMENT DATED JAN.1,2006",10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/909109/000089322006001096/w20583exv10w6.txt,2006-05-10,2006-909109-0000893220-06-001096-w20583exv10w6.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000950136-06-002636,1264242,QUANTA CAPITAL HOLDINGS LTD (CIK 0001264242),,TREATY PROPERTY REINSURANCE BINDER,10-K,EX-10.31,https://www.sec.gov/Archives/edgar/data/1264242/000095013606002636/file005.htm,2006-03-31,2006-1264242-0000950136-06-002636-file005.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-06-001096,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"COMMUTATION & RELEASE AGREEMENT EFECTIVE JAN.1,2006",10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/909109/000089322006001096/w20583exv10w5.txt,2006-05-10,2006-909109-0000893220-06-001096-w20583exv10w5.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-06-005438,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,EX-10.1: AMENDED AND RESTATED QUOTA SHARE RETROCESSION AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1171500/000095012306005438/y20142exv10w1.htm,2006-04-28,2006-1171500-0000950123-06-005438-y20142exv10w1.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-06-001096,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"REINSTATEMENT REINSURANCE CONTRACT DATED JUNE1,2005",10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/909109/000089322006001096/w20583exv10w4.txt,2006-05-10,2006-909109-0000893220-06-001096-w20583exv10w4.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000950136-06-002636,1264242,QUANTA CAPITAL HOLDINGS LTD (CIK 0001264242),,COMMUTATION AND MUTUAL RELEASE AGREEMENT,10-K,EX-10.32,https://www.sec.gov/Archives/edgar/data/1264242/000095013606002636/file006.htm,2006-03-31,2006-1264242-0000950136-06-002636-file006.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0000893220-06-001096,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"EXCESS REINSURANCE CONTRACT EFFECTIVE JUNE 1,2005",10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/909109/000089322006001096/w20583exv10w2.txt,2006-05-10,2006-909109-0000893220-06-001096-w20583exv10w2.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Property
0000893220-06-001096,909109,PHILADELPHIA CONSOLIDATED HOLDING CORP (CIK 0000909109),,"FLORIDA ONLY REINSURANCE CONTRACT DATED JUNE 1,2005",10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/909109/000089322006001096/w20583exv10w3.txt,2006-05-10,2006-909109-0000893220-06-001096-w20583exv10w3.txt,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
0001193125-06-119270,911576,VESTA INSURANCE GROUP INC (CIK 0000911576),,"25% QUOTA SHARE REINSURANCE AGREEMENT, EFFECTIVE DECEMBER 1, 2005",10-K,EX-10.23,https://www.sec.gov/Archives/edgar/data/911576/000119312506119270/dex1023.htm,2006-05-25,2006-911576-0001193125-06-119270-dex1023.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Proportional,Specialty
0001193125-06-061942,1013609,SCPIE HOLDINGS INC (CIK 0001013609),,ADDENDUM NO. 3 TO PER POLICY OF LOSS REINSURANCE AGREEMENT 8493-00-0003-00,10-K,EX-10.75,https://www.sec.gov/Archives/edgar/data/1013609/000119312506061942/dex1075.htm,2006-03-23,2006-1013609-0001193125-06-061942-dex1075.htm,gemini-2.0-flash,Yes,Non-Life,Treaty,Non-Proportional,Specialty
