accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename,classifyingModel,reinsurance,contractType,obligatoryType,proportional,classOfBusiness
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.40,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w40.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w40.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
0001125282-03-006133,1091748,"PXRE GROUP LTD (ARGD, ARGO-PA) (CIK 0001091748)",ARGD,AMENDMENT TO THE RETROCESSION CONTRACT,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1091748/000112528203006133/b327797ex10_4.txt,2003-11-14,2003-1091748-0001125282-03-006133-b327797ex10_4.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,UK 100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.52,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w52.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w52.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.46,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w46.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w46.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.49,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w49.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w49.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.47,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w47.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w47.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.45,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w45.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w45.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,UK 100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.54,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w54.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w54.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.50,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w50.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w50.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Specialty
0000950123-03-003615,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,UK 100% QUOTA SHARE RETROCESSION AGREEMENT,10-K,EX-10.53,https://www.sec.gov/Archives/edgar/data/1171500/000095012303003615/y84608kexv10w53.txt,2003-03-31,2003-1171500-0000950123-03-003615-y84608kexv10w53.txt,gpt-4o-mini,Yes,Non-Life,Treaty,Proportional,Property
