accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename
0000950123-09-028355,1044566,CNA SURETY CORP (CIK 0001044566),,EX-10.40,10-Q,EX-10.40,https://www.sec.gov/Archives/edgar/data/1044566/000095012309028355/c52576exv10w40.htm,2009-07-31,2009-1044566-0000950123-09-028355-c52576exv10w40.htm
0001193125-09-117542,1065201,AMERINST INSURANCE GROUP LTD (CIK 0001065201),,COMMUTATION AND RELEASE AGREEMENT.,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1065201/000119312509117542/dex101.htm,2009-05-22,2009-1065201-0001193125-09-117542-dex101.htm
0000930413-09-002042,1352713,RAM Holdings Ltd. (CIK 0001352713),,,10-K,EX-10.23,https://www.sec.gov/Archives/edgar/data/1352713/000093041309002042/c57092_ex10-23.htm,2009-04-15,2009-1352713-0000930413-09-002042-c57092_ex10-23.htm
0001193125-09-173144,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,REINSTATEMENT PREMIUM PROTECTION REINSURANCE CONTRACT,10-Q,EX-10.14,https://www.sec.gov/Archives/edgar/data/1400810/000119312509173144/dex1014.htm,2009-08-12,2009-1400810-0001193125-09-173144-dex1014.htm
0001193125-09-173144,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EXCESS CATASTROPHE RERINSURANCE CONTRACT,10-Q,EX-10.13,https://www.sec.gov/Archives/edgar/data/1400810/000119312509173144/dex1013.htm,2009-08-12,2009-1400810-0001193125-09-173144-dex1013.htm
0001193125-09-174461,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,FORM OF PROPERTY CATASTROPHE EXCESS,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1401521/000119312509174461/dex101.htm,2009-08-13,2009-1401521-0001193125-09-174461-dex101.htm
0000930413-09-004053,875159,XL CAPITAL LTD (CIK 0000875159),,,10-Q,EX-10.10,https://www.sec.gov/Archives/edgar/data/875159/000093041309004053/c58383_ex10-10.htm,2009-08-06,2009-875159-0000930413-09-004053-c58383_ex10-10.htm
0001193125-09-111404,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EXCESS CATASTROPHE REINSURANCE CONTRACT,10-Q,EX-10.23,https://www.sec.gov/Archives/edgar/data/1400810/000119312509111404/dex1023.htm,2009-05-14,2009-1400810-0001193125-09-111404-dex1023.htm
0001193125-09-111404,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,EXCESS PER RISK REINSURANCE CONTRACT,10-Q,EX-10.22,https://www.sec.gov/Archives/edgar/data/1400810/000119312509111404/dex1022.htm,2009-05-14,2009-1400810-0001193125-09-111404-dex1022.htm
0001193125-09-174461,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,FORM OF REINSTATEMENT PREMIUM PROTECTION,10-Q,EX-10.4,https://www.sec.gov/Archives/edgar/data/1401521/000119312509174461/dex104.htm,2009-08-13,2009-1401521-0001193125-09-174461-dex104.htm
0001144204-09-057346,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1069996/000114420409057346/v165032_ex10-1.htm,2009-11-09,2009-1069996-0001144204-09-057346-v165032_ex10-1.htm
0001144204-09-057346,1069996,21ST CENTURY HOLDING CO (CIK 0001069996),FNHC,,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1069996/000114420409057346/v165032_ex10-2.htm,2009-11-09,2009-1069996-0001144204-09-057346-v165032_ex10-2.htm
0001193125-09-174461,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,FORM OF MULTI-LINE PER RISK EXCESS,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1401521/000119312509174461/dex103.htm,2009-08-13,2009-1401521-0001193125-09-174461-dex103.htm
0001193125-09-048536,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,CASUALTY CATASTROPHE EXCESS OF LOSS REINSURANCE CONTRACT,10-K,EX-10.30,https://www.sec.gov/Archives/edgar/data/1018979/000119312509048536/dex1030.htm,2009-03-09,2009-1018979-0001193125-09-048536-dex1030.htm
